"race";"win_rate";"games_played"
"Old World Alliance";"58.60 %";605
"Orc";"57.57 %";548
"Nurgle";"57.03 %";519
"Shambling Undead";"50.75 %";469
"Wood Elf";"55.38 %";418
"Necromantic Horror";"50.29 %";342
"Human";"52.38 %";336
"Imperial Nobility";"45.97 %";335
"Skaven";"52.86 %";332
"Dark Elf";"52.24 %";312
"Snotling";"42.16 %";287
"Tomb Kings";"51.06 %";282
"Amazon";"52.21 %";272
"Goblin";"34.14 %";268
"Bretonnian";"50.39 %";259
"Lizardmen";"49.23 %";259
"Chaos Dwarf";"45.14 %";247
"Underworld Denizens";"55.90 %";229
"Norse";"39.27 %";219
"Chaos Chosen";"49.31 %";218
"Vampire";"41.53 %";177
"Ogre";"38.58 %";162
"Black Orc";"40.32 %";155
"Halfling";"40.15 %";137
"High Elf";"54.51 %";133
"Dwarf";"48.86 %";132
"Khorne";"43.65 %";126
"Gnome";"39.13 %";115
"Elf Union";"43.93 %";107
"Chaos Renegade";"45.59 %";102
"Slann";"55.26 %";19
