Race,Coach,Location,Nation,Opponent,Tournament Name,Variant,Year,Date,Result,# Draws,# Losses,# Wins,Opponent TDs,T Ds,TDs Against,TDs For,TDs Net,Win %
Norse,Caracolito,France,,Clement0,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,0,2,0,-2,0.0%
Norse,Caracolito,France,,Helborg,Kassolard Bowl,BB 2020,2021,7/25/2021,T,1,,,1,1,1,1,0,50.0%
Norse,Caracolito,France,,Jojo_starfish,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,2,0,2,2,100.0%
Chaos Renegade,Helborg,France,France,Caracolito,Kassolard Bowl,BB 2020,2021,7/25/2021,T,1,,,1,1,1,1,0,50.0%
Nurgle,Helborg,France,France,tulkas,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,1,0,1,1,100.0%
Chaos Renegade,Helborg,France,France,Quizz,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,1,2,1,2,1,100.0%
Chaos Renegade,Helborg,France,France,tulkas,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,0,2,0,-2,0.0%
Nurgle,Helborg,France,France,Quizz,Kassolard Bowl,BB 2020,2021,7/25/2021,T,1,,,2,2,2,2,0,50.0%
Nurgle,Helborg,France,France,Fnyrksz,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,1,2,1,2,1,100.0%
Nurgle,Runes,France,France,Jojo_starfish,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,1,0,1,1,100.0%
Nurgle,Runes,France,France,Fnyrksz,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,1,2,1,-1,0.0%
Nurgle,Runes,France,France,MordecaÃ¯n,Kassolard Bowl,BB 2020,2021,7/25/2021,T,1,,,1,1,1,1,0,50.0%
Norse,Clement0,France,France,MordecaÃ¯n,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,1,0,1,0,-1,0.0%
Norse,Clement0,France,France,tulkas,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,0,2,0,-2,0.0%
Norse,Clement0,France,France,Caracolito,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,2,0,2,2,100.0%
Ogre,MordecaÃ¯n,France,France,Runes,Kassolard Bowl,BB 2020,2021,7/25/2021,T,1,,,1,1,1,1,0,50.0%
Ogre,MordecaÃ¯n,France,France,Clement0,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,1,0,1,1,100.0%
Ogre,MordecaÃ¯n,France,France,Quizz,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,2,0,2,2,100.0%
Nurgle,Jojo_starfish,France,France,Fnyrksz,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,3,0,3,0,-3,0.0%
Nurgle,Jojo_starfish,France,France,Caracolito,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,0,2,0,-2,0.0%
Nurgle,Jojo_starfish,France,France,Runes,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,1,0,1,0,-1,0.0%
Halfling,tulkas,France,France,Helborg,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,2,0,2,2,100.0%
Halfling,tulkas,France,France,Helborg,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,1,0,1,0,-1,0.0%
Halfling,tulkas,France,France,Clement0,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,2,0,2,2,100.0%
Elf Union,Fnyrksz,France,France,Helborg,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,1,2,1,-1,0.0%
Elf Union,Fnyrksz,France,France,Runes,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,1,2,1,2,1,100.0%
Elf Union,Fnyrksz,France,France,Jojo_starfish,Kassolard Bowl,BB 2020,2021,7/25/2021,W,,,1,0,3,0,3,3,100.0%
Necromantic Horror,Quizz,France,France,MordecaÃ¯n,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,0,2,0,-2,0.0%
Necromantic Horror,Quizz,France,France,Helborg,Kassolard Bowl,BB 2020,2021,7/25/2021,T,1,,,2,2,2,2,0,50.0%
Necromantic Horror,Quizz,France,France,Helborg,Kassolard Bowl,BB 2020,2021,7/25/2021,L,,1,,2,1,2,1,-1,0.0%
Orc,Ercarcu,Spain,Spain,TRISKELBIKER,IV DIVORCIO,BB 2020,2021,7/17/2021,W,,,1,0,2,0,2,2,100.0%
Orc,Ercarcu,Spain,Spain,oberon68,IV DIVORCIO,BB 2020,2021,7/17/2021,L,,1,,1,0,1,0,-1,0.0%
Orc,Ercarcu,Spain,Spain,jisu,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,,,0,0,0,0,0,50.0%
Orc,Ercarcu,Spain,Spain,LordPuto,IV DIVORCIO,BB 2020,2021,7/17/2021,L,,1,,2,0,2,0,-2,0.0%
Black Orc,CRUZADO17,Spain,Spain,LordPuto,IV DIVORCIO,BB 2020,2021,7/17/2021,W,,,1,0,1,0,1,1,100.0%
Black Orc,CRUZADO17,Spain,Spain,chicobowl,IV DIVORCIO,BB 2020,2021,7/17/2021,W,,,1,0,1,0,1,1,100.0%
Black Orc,CRUZADO17,Spain,Spain,Ivan_Landwehr,IV DIVORCIO,BB 2020,2021,7/17/2021,L,,1,,1,0,1,0,-1,0.0%
Black Orc,CRUZADO17,Spain,Spain,varagh,IV DIVORCIO,BB 2020,2021,7/17/2021,L,,1,,2,0,2,0,-2,0.0%
Necromantic Horror,LordPuto,Spain,Spain,Pako_SF,IV DIVORCIO,BB 2020,2021,7/17/2021,T,1,,,0,0,0,0,0,50.0%
Necromantic Horror,LordPuto,Spain,Spain,CRUZADO17,IV DIVORCIO,BB 2020,2021,7/17/2021,L,,1,,1,0,1,0,-1,0.0%
Necromantic Horror,LordPuto,Spain,Spain,Ercarcu,IV DIVORCIO,BB 2020,2021,7/17/2021,W,,,1,0,2,0,2,2,100.0%
Necromantic Horror,LordPuto,Spain,Spain,oberon68,IV DIVORCIO,BB 2020,2021,7/17/2021,L,,1,,1,0,1,0,-1,0.0%
